"Scene Start","Scene End","Valence","Arousal","Dominance","Vader neg","Vader neu","Vader pos","Vader compound","Audio Level"
"4353.0","4365.0","5.841428571428571","4.112857142857143","5.77","0.038","0.905","0.057","0.4215","silent"
"4366.0","4645.0","5.890499999999999","3.8885833333333335","5.775583333333334","0.072","0.81","0.117","0.9651","silent"
"4646.0","4669.0","5.783157894736842","3.6747368421052626","5.80842105263158","0.075","0.819","0.106","0.5574","silent"
"4680.0","4685.0","5.866","3.69","5.614","0.0","0.88","0.12","0.4588","silent"
"4710.0","4731.0","5.673333333333334","3.9374074074074077","5.403703703703704","0.08","0.898","0.022","-0.6908","silent"
"4732.0","4734.0","4.566666666666667","4.66","4.376666666666666","0.357","0.643","0.0","-0.8309","silent"
"4735.0","4760.0","5.770909090909091","4.143636363636363","5.570909090909091","0.019","0.923","0.058","0.6121","silent"
"4761.0","4763.0","3.975","4.34","4.35","0.302","0.698","0.0","-0.3802","silent"
"4768.0","4779.0","5.19","3.9350000000000005","5.120000000000001","0.238","0.762","0.0","-0.7562","silent"
"4788.0","4798.0","4.7128571428571435","4.44","5.059285714285713","0.251","0.749","0.0","-0.8415","loud"
"4804.0","4828.0","5.696470588235294","3.8394117647058823","5.111764705882353","0.125","0.836","0.04","-0.6597","silent"
"4829.0","4835.0","5.484444444444445","3.7600000000000002","5.604444444444445","0.0","1.0","0.0","0.0","silent"
"4836.0","4840.0","4.726","4.338000000000001","4.766","0.167","0.833","0.0","-0.25","silent"
"4840.0","4844.0","5.435","3.8924999999999996","5.9025","0.0","1.0","0.0","0.0","silent"
"4845.0","4850.0","5.390000000000001","3.7566666666666664","5.826666666666667","0.0","0.714","0.286","0.4939","silent"
"4863.0","4870.0","5.297499999999999","3.40375","4.965","0.073","0.927","0.0","-0.2023","silent"
"4870.0","4875.0","6.2299999999999995","3.8033333333333332","5.256666666666667","0.095","0.779","0.126","0.1779","silent"
"4877.0","4884.0","5.52","3.32","4.65","0.0","1.0","0.0","0.0","silent"
"4888.0","4890.0","4.933333333333334","3.103333333333333","5.06","0.0","1.0","0.0","0.0","silent"
"4895.0","4916.0","5.228","3.4859999999999993","5.182","0.0","1.0","0.0","0.0","silent"
"4940.0","4945.0","5.235","3.845","4.923","0.0","1.0","0.0","0.0","silent"
"4946.0","4954.0","6.182857142857143","4.36","5.102857142857142","0.105","0.702","0.194","0.3954","medium"
"4955.0","4965.0","5.180000000000001","4.419473684210527","5.253684210526315","0.141","0.809","0.05","-0.5709","medium"
"4971.0","5004.0","5.627380952380952","3.880952380952381","5.6552380952380945","0.029","0.95","0.021","-0.5165","medium"
"5027.0","5054.0","4.818666666666667","4.622666666666668","5.145333333333334","0.096","0.875","0.029","-0.8338","silent"
"5055.0","5100.0","5.2124999999999995","4.593333333333333","5.401666666666666","0.247","0.701","0.053","-0.9089","medium"
"5101.0","5104.0","5.13","4.205","5.275","0.152","0.621","0.227","-0.126","silent"
"5105.0","5108.0","5.698000000000001","3.948666666666667","5.408666666666667","0.0","1.0","0.0","0.0","silent"
"5109.0","5112.0","5.792222222222223","3.92","5.544444444444444","0.0","0.891","0.109","0.549","silent"
"5112.0","5120.0","4.945333333333334","4.197333333333334","4.965999999999999","0.123","0.877","0.0","-0.6956","silent"
"5121.0","5128.0","3.855","4.16","4.96","0.182","0.818","0.0","-0.4404","silent"
"5129.0","5131.0","5.215714285714285","4.1899999999999995","5.53","0.085","0.709","0.206","0.5267","silent"
"5132.0","5134.0","5.09","3.685","4.755","0.0","1.0","0.0","0.0","silent"
"5134.0","5146.0","5.738888888888889","4.09","5.64","0.0","1.0","0.0","0.0","silent"
"5147.0","5155.0","5.1499999999999995","3.5171428571428573","5.028571428571428","0.094","0.852","0.055","-0.4215","silent"
"5156.0","5172.0","5.4592307692307696","4.060769230769231","5.511538461538461","0.0","0.95","0.05","0.2023","silent"
"5187.0","5199.0","5.367241379310346","4.190689655172414","5.532758620689654","0.132","0.855","0.014","-0.884","medium"
"5200.0","5207.0","5.3500000000000005","3.8481818181818186","5.377272727272727","0.166","0.834","0.0","-0.8201","silent"
"5216.0","5230.0","4.72111111111111","4.154444444444445","4.726666666666667","0.183","0.817","0.0","-0.7998","silent"
"5231.0","5450.0","5.465095541401274","4.253885350318471","5.42859872611465","0.143","0.768","0.089","-0.9904","silent"
"5451.0","5468.0","6.2620000000000005","4.372","5.622","0.034","0.821","0.145","0.7351","silent"
"5469.0","5486.0","5.379411764705883","4.187647058823529","5.329411764705883","0.11","0.818","0.072","-0.1531","silent"
"5487.0","5497.0","5.63611111111111","4.352777777777778","6.0088888888888885","0.0","1.0","0.0","0.0","medium"
"5498.0","5605.0","5.768720930232559","4.227325581395348","5.4638372093023255","0.094","0.795","0.11","0.7709","silent"
"5611.0","5667.0","5.319886363636363","4.069090909090909","5.442954545454546","0.108","0.85","0.042","-0.9701","silent"
"5670.0","5685.0","5.337","3.72675","5.57775","0.078","0.903","0.019","-0.8053","silent"
"5686.0","5840.0","6.030666666666665","3.788333333333334","5.806666666666666","0.038","0.849","0.113","0.9166","silent"
"5845.0","5921.0","5.57975","3.9685","5.3475","0.049","0.857","0.094","0.5994","silent"
"5922.0","5933.0","5.3136363636363635","3.93","5.470909090909092","0.079","0.87","0.052","-0.25","silent"
"5934.0","5950.0","5.614999999999999","3.5833333333333335","5.699999999999999","0.141","0.72","0.139","-0.0258","silent"
"5951.0","5975.0","5.088235294117647","3.8694117647058826","5.344117647058823","0.136","0.864","0.0","-0.8382","silent"
"5975.0","5980.0","5.485714285714286","4.648571428571429","5.4","0.113","0.723","0.165","0.2023","silent"
"5981.0","6065.0","5.421818181818182","4.033181818181818","5.492272727272726","0.096","0.871","0.033","-0.9455","silent"
"6066.0","6102.0","4.9044","4.172","5.1912","0.118","0.868","0.014","-0.8143","medium"
"6273.0","6295.0","4.6899999999999995","4.237333333333333","4.922666666666667","0.199","0.801","0.0","-0.872","silent"
"6296.0","6305.0","6.390000000000001","3.9333333333333336","6.163333333333334","0.0","0.758","0.242","0.4939","silent"
"6306.0","6328.0","5.464545454545455","4.149090909090909","5.277727272727273","0.077","0.903","0.02","-0.6476","medium"
"6329.0","6341.0","5.253333333333333","4.51","5.17","0.113","0.841","0.046","-0.3802","loudest"
"6342.0","6350.0","4.932142857142858","4.256428571428572","5.42","0.266","0.734","0.0","-0.8814","medium"
"6351.0","6443.0","5.145263157894737","4.373157894736843","5.337684210526315","0.117","0.834","0.049","-0.9779","medium"
"6444.0","6456.0","5.2855","4.2755","5.411499999999999","0.0","1.0","0.0","0.0","silent"
"6457.0","6464.0","6.091428571428572","3.91","5.791428571428571","0.0","1.0","0.0","0.0","silent"
"6465.0","6530.0","5.300701754385964","4.312105263157894","5.32877192982456","0.144","0.85","0.006","-0.981","loud"
"6531.0","6689.0","5.338227848101266","4.2087974683544305","5.381012658227848","0.065","0.888","0.047","-0.467","loud"
"6690.0","6692.0","5.624","3.7300000000000004","5.522","0.0","1.0","0.0","0.0","silent"
"6693.0","6736.0","6.092222222222222","3.6083333333333334","5.899444444444445","0.074","0.911","0.014","-0.5979","silent"
"6737.0","6745.0","5.356923076923077","3.6761538461538468","5.112307692307693","0.118","0.751","0.131","-0.1111","silent"
"6746.0","6775.0","4.998888888888889","4.012222222222222","5.45","0.085","0.915","0.0","-0.6041","silent"
"6776.0","6800.0","5.169692307692308","4.085692307692308","5.135999999999999","0.097","0.874","0.028","-0.932","silent"
"6801.0","6804.0","5.430833333333333","4.0758333333333345","5.5200000000000005","0.151","0.849","0.0","-0.7508","silent"
"6805.0","6855.0","5.663684210526315","4.45578947368421","5.437105263157895","0.073","0.827","0.1","0.3527","medium"
"6857.0","6862.0","5.072857142857143","3.98","5.344285714285713","0.201","0.799","0.0","-0.7762","silent"
"6891.0","6986.0","5.266164383561644","4.45013698630137","5.514794520547945","0.127","0.813","0.059","-0.9408","medium"
"6987.0","6992.0","4.931666666666667","5.255","5.296666666666666","0.285","0.715","0.0","-0.7777","silent"
"7045.0","7055.0","5.436666666666666","4.156666666666668","5.194761904761906","0.086","0.879","0.035","-0.5719","silent"
"7060.0","7128.0","5.173166666666668","4.2315","5.2541666666666655","0.128","0.846","0.026","-0.9776","medium"
"7132.0","7155.0","5.290000000000001","4.222142857142857","5.593571428571429","0.113","0.887","0.0","-0.758","silent"
"7156.0","7162.0","5.368888888888888","4.423333333333334","5.696666666666666","0.147","0.757","0.096","-0.3151","silent"
"7163.0","7170.0","5.389","3.907000000000001","5.702","0.0","0.949","0.051","0.3182","silent"
"7171.0","7180.0","5.4799999999999995","4.378","5.0920000000000005","0.256","0.744","0.0","-0.5848","silent"
"7200.0","7214.0","5.404","3.784","5.175999999999999","0.092","0.908","0.0","-0.4824","medium"
"7348.0","7365.0","5.633333333333332","3.778666666666667","5.597333333333335","0.067","0.907","0.026","-0.4404","silent"
"7385.0","7405.0","5.3149999999999995","4.8025","5.432499999999999","0.193","0.807","0.0","-0.5106","silent"
"7406.0","7413.0","5.368888888888888","3.927777777777778","5.348888888888889","0.071","0.871","0.058","-0.1027","silent"
"7414.0","7426.0","6.113333333333333","4.26","6.338333333333334","0.115","0.71","0.176","0.1601","silent"
"7427.0","7475.0","5.583333333333333","4.382666666666667","5.816","0.065","0.935","0.0","-0.5267","silent"
"7490.0","7495.0","5.775714285714285","4.501428571428571","5.577142857142857","0.171","0.678","0.151","0.2714","silent"
"7496.0","7504.0","5.5825","3.6275","5.42","0.064","0.936","0.0","-0.4199","silent"
"7625.0","7640.0","4.955","4.6739999999999995","5.673","0.2","0.727","0.073","-0.6588","loud"
"7641.0","7648.0","4.12","4.202727272727272","4.657272727272727","0.257","0.743","0.0","-0.7845","loudest"
"7649.0","7764.0","5.936666666666666","3.9493589743589745","5.647179487179487","0.069","0.876","0.055","-0.7217","silent"
