Movie,Vader Compound,Vader Neg,Vader Pos,Vader Neu,Genre
labyrinth,1,0.085,0.116,0.8,Musical
lake-placid,-0.9997,0.112,0.097,0.791,Thriller
land-of-the-dead,-1,0.134,0.083,0.783,Horror
larry-crowne,1,0.074,0.118,0.808,Romance
last-chance-harvey,1,0.082,0.142,0.777,Romance
last-tango-in-paris,0.9998,0.11,0.125,0.765,Romance
law-abiding-citizen,-1,0.115,0.086,0.8,Thriller
legion,-1,0.136,0.094,0.771,Action
les-miserables,-0.9991,0.114,0.108,0.778,Musical
leviathan,-0.9999,0.103,0.082,0.815,Horror
liar-liar,1,0.1,0.156,0.744,Fantasy
life-of-pi,-0.9984,0.092,0.087,0.821,Adventure
life,0.998,0.102,0.107,0.791,Drama
limitless,1,0.087,0.113,0.8,Sci-Fi
lincoln,-0.9967,0.114,0.112,0.774,Drama
little-athens,-1,0.114,0.087,0.799,Comedy
little-nicky,-0.9852,0.12,0.121,0.759,Horror
living-in-oblivion,1,0.099,0.139,0.762,Comedy
"lock,-stock-and-two-smoking-barrels",-0.9977,0.104,0.106,0.79,Comedy
logan's-run,0.9998,0.091,0.101,0.808,Action
lone-star,0.9995,0.076,0.085,0.839,Crime
looper,-1,0.125,0.078,0.797,Action
lord-of-illusions,-1,0.129,0.082,0.789,Thriller
lord-of-war,-0.9999,0.114,0.097,0.789,Crime
lost-highway,-0.9996,0.086,0.076,0.838,Horror
lost-horizon,1,0.078,0.127,0.795,Fantasy
lost-in-space,0.9986,0.089,0.093,0.818,Sci-Fi
lost-in-translation,1,0.06,0.135,0.805,Comedy
love-and-basketball,1,0.083,0.131,0.787,Drama
machete,-0.9998,0.116,0.101,0.783,Thriller
machine-gun-preacher,-0.9999,0.094,0.08,0.826,Crime
magnolia,-0.9999,0.105,0.098,0.797,Drama
major-league,0.9945,0.089,0.09,0.82,Comedy
malibu's-most-wanted,0.9988,0.107,0.117,0.775,Comedy
man-in-the-iron-mask,-1,0.12,0.101,0.78,Action
man-on-fire,1,0.089,0.119,0.792,Action
man-on-the-moon,0.9999,0.122,0.135,0.743,Drama
man-trouble,-0.9994,0.099,0.1,0.801,Comedy
margaret,1,0.1,0.151,0.749,Drama
margin-call,0.9999,0.081,0.1,0.819,Drama
margot-at-the-wedding,0.9996,0.098,0.109,0.792,Drama
"mariachi,-e",-0.9578,0.082,0.083,0.834,Crime
marley-&-me,1,0.067,0.123,0.811,Romance
martha-marcy-may-marlene,1,0.084,0.141,0.775,Thriller
master-and-commander,0.9945,0.097,0.099,0.804,Drama
max-payne,-1,0.109,0.076,0.815,Drama
mean-streets,1,0.083,0.113,0.804,Drama
meet-joe-black,1,0.077,0.143,0.781,Drama
megamind,0.9999,0.108,0.126,0.766,Sci-Fi
men-in-black-3,0.9999,0.108,0.131,0.762,Action
men-in-black,-0.9998,0.092,0.082,0.826,Action
metro,-0.9999,0.098,0.084,0.818,Drama
miami-vice,0.9995,0.075,0.084,0.842,Thriller
midnight-cowboy,0.9999,0.103,0.122,0.775,Drama
midnight-express,-1,0.133,0.086,0.782,Crime
midnight-in-paris,1,0.075,0.187,0.738,Romance
mighty-morphin-power-rangers-the-movie,0.9978,0.086,0.093,0.82,Action
milk,0.9998,0.102,0.114,0.784,Drama
mimic,-0.9998,0.085,0.071,0.844,Sci-Fi
mini's-first-time,1,0.084,0.132,0.784,Drama
mirrors,-1,0.109,0.07,0.821,Thriller
mission-impossible-ii,-0.9983,0.091,0.087,0.822,Thriller
mission-impossible,-0.9994,0.079,0.073,0.848,Action
mission-to-mars,0.9999,0.092,0.104,0.804,Drama
moneyball,1,0.071,0.129,0.8,Drama
monkeybone,0.9998,0.099,0.112,0.79,Fantasy
monte-carlo,1,0.056,0.125,0.819,Comedy
moon,0.9992,0.083,0.091,0.826,Drama
moonrise-kingdom,0.841,0.075,0.073,0.851,Drama
moonstruck,1,0.08,0.127,0.794,Drama
mr-blandings-builds-his-dream-house,1,0.054,0.113,0.833,Comedy
mr-brooks,1,0.085,0.105,0.81,Drama
mr-deeds-goes-to-town,1,0.073,0.139,0.788,Comedy
mrs.-brown,1,0.074,0.126,0.8,Drama
mud,0.9999,0.065,0.073,0.863,Drama
mulholland-drive,1,0.068,0.11,0.822,Mystery
mumford,0.9998,0.096,0.102,0.802,Drama
music-of-the-heart,1,0.081,0.137,0.782,Drama
my-best-friend's-wedding,1,0.099,0.156,0.745,Romance
my-mother-dreams-the-satan's-disciples-in-new-york,0.9998,0.077,0.119,0.804,Short
my-week-with-marilyn,1,0.09,0.155,0.755,Drama
nashville,1,0.073,0.121,0.806,Musical
natural-born-killers,-0.9999,0.114,0.105,0.781,Action
new-york-minute,0.9999,0.093,0.115,0.791,Comedy
newsies,1,0.08,0.103,0.818,Family
next-friday,0.9771,0.103,0.112,0.784,Comedy
next,0.9999,0.093,0.106,0.801,Action
nick-of-time,1,0.096,0.133,0.772,Crime
nightbreed,-1,0.127,0.086,0.787,Fantasy
nightmare-on-elm-street-the-final-chapter,-1,0.113,0.084,0.803,Comedy
nine,1,0.083,0.147,0.771,Drama
ninja-assassin,-0.9999,0.104,0.081,0.816,Thriller
no-country-for-old-men,-0.9966,0.07,0.069,0.861,Crime
no-strings-attached,1,0.095,0.15,0.756,Comedy
oblivion,-0.9999,0.096,0.083,0.821,Action
observe-and-report,1,0.105,0.151,0.744,Crime
obsessed,1,0.091,0.134,0.775,Drama
oceans-eleven,1,0.065,0.092,0.843,Crime
oceans-twelve,0.9999,0.079,0.103,0.817,Crime
one-flew-over-the-cuckoo's-nest,0.9999,0.076,0.095,0.829,Drama
