Movie,hv,mv,lv,ha,ma,la,hd,md,ld,Genre
final-destination,0.252618855761483,0.669218372280419,0.078162771958098,0.041498791297341,0.940907869997314,0.017593338705345,0.075342465753425,0.867982809562181,0.056674724684394,Horror
five-easy-pieces,0.276670317634173,0.661774370208105,0.061555312157722,0.019277108433735,0.970208105147864,0.010514786418401,0.099233296823658,0.873384446878423,0.027382256297919,Drama
flash-gordon,0.246475284525225,0.683030405979276,0.070494309495499,0.055885850178359,0.928316629862409,0.015797519959232,0.07474095464583,0.878376082894513,0.046882962459657,Fantasy
flight,0.216987520557222,0.61526555093354,0.167746928509239,0.030956757279675,0.95143658701751,0.017606655702815,0.079520170262165,0.880236045274257,0.040243784463578,Drama
forrest-gump,0.287241625089095,0.657163221667855,0.055595153243051,0.038631503920171,0.950677120456165,0.010691375623664,0.075409836065574,0.887526728439059,0.037063435495367,Drama
four-rooms,0.276553106212425,0.644145433724592,0.079301460062983,0.044088176352705,0.938877755511022,0.017034068136273,0.088176352705411,0.876037789865445,0.035785857429144,Comedy
foxcatcher,0.241621621621622,0.714954954954955,0.043423423423424,0.027927927927928,0.954414414414414,0.017657657657658,0.096216216216216,0.87981981981982,0.023963963963964,Drama
fracture,0.21100312963268,0.679953879097348,0.109042991269972,0.054192060616044,0.930324493493658,0.015483445890298,0.090924065228134,0.831164552791962,0.077911381979905,Drama
frances,0.282950266199195,0.640825866770549,0.076223867030256,0.034930528502792,0.952343851447864,0.012725620049344,0.111024542267238,0.834956499155954,0.054018958576808,Drama
frankenweenie,0.291919663708547,0.646193367585241,0.061886968706212,0.03106025221859,0.954460532461467,0.014479215319944,0.08570761326483,0.864782811770201,0.04950957496497,Animation
freaked,0.22391898408616,0.668220543321009,0.107860472592831,0.050152708567754,0.936826876707925,0.013020414724321,0.088249477575953,0.865455714515351,0.046294807908696,Sci-Fi
freddy-vs.-jason,0.22242492281785,0.662924501824305,0.114650575357845,0.057676115632894,0.924501824305361,0.017822060061746,0.080409767050239,0.840022452989054,0.079567779960707,Action
friday-the-13th-part-viii-jason-takes-manhattan,0.209727260513234,0.699046083568453,0.091226655918313,0.049039365847105,0.937659545882037,0.013301088270859,0.080343947333065,0.866854762864436,0.052801289802499,Horror
friday-the-13th,0.245995649594621,0.661459363258849,0.09254498714653,0.041922088194582,0.942653747280997,0.015424164524422,0.074945619932767,0.879177377892031,0.045877002175203,Thriller
fright-night-(1985),0.250110277900309,0.641670342596677,0.108219379503014,0.041317453315689,0.948978091457139,0.009704455227172,0.071018967798853,0.8429642699603,0.086016762240847,Thriller
fright-night,0.261238490702293,0.643798519588373,0.094962989709334,0.056688933020401,0.93139555876512,0.011915508214479,0.082686405488355,0.861707889510742,0.055605705000903,Comedy
from-dusk-till-dawn,0.222456669178598,0.683798040693293,0.093745290128109,0.078824415975886,0.905048982667671,0.016126601356443,0.076412961567445,0.86284853051997,0.060738507912585,Horror
from-here-to-eternity,0.22000190313065,0.62470263583595,0.1552954610334,0.071177086306975,0.910743172518793,0.018079741174232,0.073841469216862,0.851365496241317,0.074793034541821,War
frozen-(disney),0.285158421345192,0.644987956272003,0.069853622382805,0.036316472114138,0.951639799888827,0.012043727997035,0.095423383361127,0.859181026496201,0.045395590142672,Animation
frozen-river,0.24017719568567,0.701271186440678,0.058551617873652,0.040446841294299,0.942796610169492,0.01675654853621,0.056818181818182,0.912750385208012,0.030431432973806,Crime
