"Movie","Anger","Anticipation","Disgust","Fear","Joy","Negative","Positive","Sadness","Surprise","Trust","Genre"
"out-of-sight","0.065808297568","0.0813406907828","0.035969752708","0.0737788677703","0.0494584099734","0.13345595749","0.117106069896","0.056815859391","0.041692213366","0.0731657469855","Crime"
"out-of-sight","0.065808297568","0.0813406907828","0.035969752708","0.0737788677703","0.0494584099734","0.13345595749","0.117106069896","0.056815859391","0.041692213366","0.0731657469855","Drama"
"out-of-sight","0.065808297568","0.0813406907828","0.035969752708","0.0737788677703","0.0494584099734","0.13345595749","0.117106069896","0.056815859391","0.041692213366","0.0731657469855","Romance"
"out-of-sight","0.065808297568","0.0813406907828","0.035969752708","0.0737788677703","0.0494584099734","0.13345595749","0.117106069896","0.056815859391","0.041692213366","0.0731657469855","Thriller"
"pandorum","0.064091460246","0.0633985795947","0.034990472891","0.0938853282522","0.0304867486575","0.148103239217","0.0980426121601","0.0689416248051","0.0346440325654","0.0543911311277","Action"
"pandorum","0.064091460246","0.0633985795947","0.034990472891","0.0938853282522","0.0304867486575","0.148103239217","0.0980426121601","0.0689416248051","0.0346440325654","0.0543911311277","Horror"
"pandorum","0.064091460246","0.0633985795947","0.034990472891","0.0938853282522","0.0304867486575","0.148103239217","0.0980426121601","0.0689416248051","0.0346440325654","0.0543911311277","Sci-Fi"
"panic-room","0.049602344077","0.054416073671","0.0280452071997","0.0736709920469","0.0357890330682","0.123691921306","0.104018417748","0.049602344077","0.0320217664295","0.054625366262","Crime"
"panic-room","0.049602344077","0.054416073671","0.0280452071997","0.0736709920469","0.0357890330682","0.123691921306","0.104018417748","0.049602344077","0.0320217664295","0.054625366262","Drama"
"panic-room","0.049602344077","0.054416073671","0.0280452071997","0.0736709920469","0.0357890330682","0.123691921306","0.104018417748","0.049602344077","0.0320217664295","0.054625366262","Thriller"
"papadopoulos-&-sons","0.053829321663","0.112910284464","0.0336980306346","0.0599562363239","0.116849015317","0.118599562363","0.200437636761","0.0656455142232","0.0612691466083","0.118161925602","Comedy"
"papadopoulos-&-sons","0.053829321663","0.112910284464","0.0336980306346","0.0599562363239","0.116849015317","0.118599562363","0.200437636761","0.0656455142232","0.0612691466083","0.118161925602","Drama"
"paranorman","0.0785810507409","0.0601706331388","0.0734171531208","0.099685675797","0.0383924562191","0.170184104176","0.118096093399","0.0725190839695","0.0397395599461","0.0725190839695","Animation"
"paranorman","0.0785810507409","0.0601706331388","0.0734171531208","0.099685675797","0.0383924562191","0.170184104176","0.118096093399","0.0725190839695","0.0397395599461","0.0725190839695","Adventure"
"paranorman","0.0785810507409","0.0601706331388","0.0734171531208","0.099685675797","0.0383924562191","0.170184104176","0.118096093399","0.0725190839695","0.0397395599461","0.0725190839695","Comedy"
"pariah","0.045623039635","0.0761334473909","0.0430567436555","0.0524664955803","0.0755631593955","0.119190191046","0.154262902766","0.0678642714571","0.0450527516396","0.0858283433134","Drama"
