Time,Spectral Centroid
5086.742,1822.06243550887
5087.856,1750.83985459941
5088.971,1595.66390876439
5090.085,1775.71228786037
5091.2,1448.1710167286
5092.314,1826.42404704285
5093.429,1914.22699067661
5094.544,1600.39031459447
5095.658,1562.81000533168
5096.773,1442.80086829151
5097.887,1674.4850408267
5099.002,1715.37250023262
5100.116,1457.4824576457
5101.231,331.50404489652
5102.345,379.44678561337
5103.46,375.516532471396
5104.575,329.139879582081
5105.689,357.31716631328
5106.804,359.870258792158
5107.918,380.99039742618
5109.033,443.235212804953
5110.147,500.738703044342
5111.262,434.18770123549
5112.376,460.608520276302
5113.491,484.397295281605
5114.606,507.127613078267
5115.72,471.649993951512
5116.835,518.200818269995
5117.949,484.844481712936
5119.064,460.782587695553
5120.178,479.640459296864
5121.293,535.142569944111
5122.408,496.923868230922
5123.522,572.712730769889
5124.637,528.650369003877
5125.751,579.645295367649
5126.866,616.428081241517
5127.98,606.972186365293
5129.095,547.760162967184
5130.209,528.157026673551
5131.324,622.157937122883
5132.439,585.448600874478
5133.553,625.220977068234
5134.668,445.876993735873
5135.782,500.795436578332
5136.897,439.930899369209
5138.011,542.082574851769
5139.126,578.347966377882
5140.24,518.101479748662
5141.355,675.331928956183
5142.47,566.451554554346
5143.584,508.556330694358
5144.699,551.914375500594
5145.813,1511.8973688654
5146.928,1816.92262673417
5148.042,1799.13495145693
5149.157,1651.10452590928
5150.271,1698.43879408878
5151.386,1520.32448786736
5152.501,1379.70067228378
5153.615,1312.18792501261
5154.73,1581.17864982642
5155.844,1747.29584038752
5156.959,1989.3115898249
5158.073,901.708412546352
5159.188,798.689598366732
5160.302,1387.47574094803
5161.417,1402.7531806552
5162.532,1205.69332304279
5163.646,999.587132424936
5164.761,1221.9856438809
5165.875,1349.94396490675
5166.99,1077.96945297189
5168.104,1592.44627309548
5169.219,1368.91733248345
5170.333,1411.82668893799
5171.448,1458.83988432132
5172.563,1662.40783217041
5173.677,1474.29933571674
5174.792,1499.73163091294
5175.906,1303.10164825662
5177.021,1736.05396488025
5178.135,1137.57518414289
